Unnamed: 0,Date,User,Tweet
1792,2019-05-16 09:49:26+00:00,VandanaMegastar,"@RedVinka @DeepikaBhardwaj No, Ms Dutta got this assignment from #BJP supremo for a handsome amount. She is happily married and stays with her family in U.S. Flew to #India to accomplish this task. All for money, has no #Shame Time 2 oppose such women in the societies across the globe. #TanushreeDutta"
117540,2019-03-20 02:20:59+00:00,protagonist21_,"Bite the hand that feed one 💴💴💵💵💳💳💰💰💰💰
#MPsOnSale ==&gt;Ye to chor nikla......... 
#Chaukidar 
#BattleOf2019 #DNA #NDTV #LokSabhaElections2019 #ElectionsWithHT #thehindu"
135977,2019-02-07 07:44:34+00:00,BhumidolVijay,#LokSabhaElections2019 Mallikarjun Kharge PLEASE TELL US HOW MUCH YOU HAVE EATEN AND TAKEN AWAY FROM POOR'S POCKETS -compare the time of Singapore's independence and COMPARE WHAT YOU COULD HAVE DONE you have ENRICHED ALL YOUR FAMILY AND COMMISSION GIVERS !!!
130994,2019-02-26 05:57:57+00:00,S_TripathiJi,Salute #IndianAirForce proud to be Indian as #NarendraModi ji said ye naya Bharat he jo ghus k marega. #SurgicalStrikes2 more to go. #NirmalaSitharaman said it’s just started now👍🇮🇳😊. 100% successful strike with 1000 kg #howsthejosh India high sir. #BJP4India #bjym
66163,2019-05-18 11:44:44+00:00,cjnikam,"let the left thing 👈show, the right thing of right.

#LokSabhaElections2019 last phase, play it like last ball, last minute, last raid, last chance.

Go for maximum.
#VoteKar 
#Loksabha 
#LokSabhaEelctions2019"
78640,2019-04-29 10:12:00+00:00,abhinavmTOI,"#Kanpur: 40.3 percent votes polled till 3 pm

#LokSabhaElections2019"
95116,2019-04-12 17:29:11+00:00,Vijay_speak,"If ex-MLA of @AamAadmiParty Jitendra Singh Tomar can be arrested for fake degree. Why can't
 @smritiirani ?
#loksabhaelections2019 #IndiaElections2019"
37452,2019-03-21 15:29:04+00:00,RavindraGautam_,"Narendra Modi replaces Amit Shah with LK Advani Ji at Gandhi Nagar seat, or can v say THe BOSS finally kicked out the unwanted Advani ji in #BJP. What cud we expect more out of him ?#BJPFirstList
@DrAMSinghvi @LambaAlka @drshamamohd @JhaSanjay @ashutosh83B @sardesairajdeep @BDUTT"
40750,2019-03-16 11:16:39+00:00,rakeshrao070,#MeinBhiChowkidar Movement getting lot of support.. Thanks to #raga for campaigning for #Bjp with the word #Chowkidar long live pappu
68411,2019-05-14 15:38:30+00:00,Subesin47812026,#HarGharModi after #LokSabhaElections2019
55321,2019-02-07 13:55:59+00:00,IndoreNagpur,@brakoo Not just me but my cabbie telling me he convinces everyone to vote for #BJP #ModiUnstoppable
63951,2019-01-07 11:42:26+00:00,thinktowards,"Leave all allegation against #BJP

Why Central Government Supported NBFC And Why They Made RBI Governor To Resign.?

Instead of Merging Three Banks Into One, Why They Didn't Supported Those Banks Financially Which Is Owned By  The Government Of India.?"
43974,2019-03-10 17:47:40+00:00,Onmymind95,"#LokSabhaElections2019 Why do you think all the dynasts are united? Cos they know they wud be swept away if they fought individually against Modi. When your enemies unite against you it shows how strong u r.  We need to slap it in the face of dynasts! 
#PhirEkBaarModiSarkar"
24250,2019-04-09 06:34:57+00:00,arian290360,"@ndtv @narendramodi Why doesn't he talk

#unemployment #inflation #SmartCity #Farmers #Demonetisation #MakeInIndia #SkillIndia #economy??

Why Only this crap all the time??

#LokSabhaElections2019 #BJPJumlaManifesto #AbHogaNYAY #BJP_भगाओ_देश_बचाओ"
85050,2019-04-23 02:28:11+00:00,HemantS0401,"To cast your vote is not you right it is your duty which you must have to do. So please come forward and cast your vote.
#VoteKar
#Phase3 
#VotingRound3 
#LokSabhaElections2019"
89885,2019-04-18 07:06:37+00:00,iamgane_n,"Looks many wants to vote this time. Never been so much rushes for the buses. Everything for one man #Namo @narendramodi 
@BJP4TamilNadu 
@BJP4India 
@PonnaarrBJP 
@DrTamilisaiBJP 

Well done the people of Tamil Nadu. 

#LokSabhaElections2019 
#TNElection2019 
#GoVoteTN"
30035,2019-03-31 17:15:26+00:00,sa8ypr,"When #Modi can fight from Varanasi, Uttar Pradesh and gain then why not #RahulGandhi can diversify. :)
People are branding it as cowardly act, suicide, ... If arrogantly by BJP then fine. 
#LoksabhaElections2019"
42550,2019-03-13 06:48:46+00:00,soumodiptoroyy,"#RahulGandhi in Chennai: “Investigate Vadra, find out if he is guilty, but investigate PM Modi aswell, why was the Rafale deal given to Anil Ambani” #VanakkamRahulGandhi"
10553,2019-04-29 13:05:07+00:00,skthandesh,"@TamilTheHindu Its pure violation in coalition code of conduct...

#BJP கோச்சுக்கும் !"
